video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
-3nEHRN6IPg,teardown i,teardown,"[""[[13, 43], [156, 157]]""]"
-4s2MeUgduo,bsur jost all a023 dag a wlimold bob homb,bsur jost a023 dag wlimold bob homb,"[""[[371, 45], [443, 70]]"", ""[[442, 48], [472, 65]]"", ""[[401, 65], [458, 94]]"", ""[[292, 69], [338, 97]]"", ""[[17, 76], [62, 89]]"", ""[[425, 94], [469, 122]]"", ""[[365, 174], [389, 181]]""]"
-66xHRJSPxs,what would my kid doz s100,would kid doz s100,"[""[[122, 49], [264, 93]]"", ""[[328, 50], [396, 90]]"", ""[[399, 51], [477, 91]]"", ""[[14, 242], [126, 311]]""]"
-7AZX5Xtiks,romance teen dramatic too is,romance teen dramatic,"[""[[192, 203], [407, 259]]"", ""[[70, 234], [184, 269]]"", ""[[200, 234], [422, 296]]""]"
-8ZHXaGILlc,nbcsports,nbcsports,"[""[[53, 278], [182, 304]]""]"
-C5q3oir8gA,light saber tree gmm youtube originals,light saber tree gmm youtube original,"[""[[19, 71], [212, 124]]"", ""[[20, 126], [207, 171]]"", ""[[20, 180], [208, 235]]"", ""[[10, 268], [108, 305]]"", ""[[129, 277], [193, 298]]"", ""[[190, 275], [261, 305]]""]"
-R9F2_D76TE,detection of first the stars,detection first star,"[""[[20, 241], [218, 266]]"", ""[[88, 265], [172, 292]]"", ""[[180, 266], [276, 292]]""]"
-W6v2_0evUU,yox,yox,"[""[[17, 257], [113, 301]]""]"
0-M5C7sQdGI,ucla health ucla health sox wort aos akers h aki hoalth uici a,ucla health sox wort aos akers aki hoalth uici,"[""[[38, 121], [85, 138]]"", ""[[95, 121], [163, 141]]"", ""[[392, 201], [412, 209]]"", ""[[416, 201], [449, 206]]"", ""[[84, 202], [102, 209]]"", ""[[382, 208], [464, 232]]"", ""[[73, 210], [113, 232]]"", ""[[408, 301], [474, 316]]"", ""[[41, 302], [73, 316]]""]"
0-_h-qFt_zs,vevo,vevo,"[""[[10, 278], [102, 305]]""]"
00RpZZThSAs,sze sze then suce,sze suce,"[""[[266, 176], [317, 194]]"", ""[[276, 193], [317, 214]]""]"
00mdcc9o28A,the tonight emilia clarke show jimmy fallon,tonight emilia clarke show jimmy fallon,"[""[[21, 225], [112, 245]]"", ""[[141, 234], [274, 274]]"", ""[[285, 234], [450, 274]]"", ""[[21, 241], [86, 261]]"", ""[[46, 258], [112, 278]]"", ""[[33, 274], [109, 294]]""]"
00nmxR1mxIA,late show missing the scene stephen colbert cantina,late show miss scene stephen colbert cantina,"[""[[36, 207], [109, 236]]"", ""[[52, 232], [129, 257]]"", ""[[220, 244], [342, 270]]"", ""[[349, 245], [440, 269]]"", ""[[26, 252], [117, 278]]"", ""[[41, 277], [121, 300]]"", ""[[242, 290], [286, 313]]""]"
02e9klKUN0Y,thing hide,thing hide,"[""[[0, 95], [200, 156]]"", ""[[355, 101], [481, 159]]""]"
069D0NmW39o,lne top 10,lne top,"[""[[260, 173], [310, 197]]"", ""[[12, 233], [88, 282]]""]"
08l0K3UyUXE,aw grammy inside edition,grammy inside edition,"[""[[0, 118], [114, 154]]"", ""[[9, 238], [110, 281]]"", ""[[12, 288], [110, 305]]""]"
08nkwgZIE4I,any ranma vevo,ranma vevo,"[""[[40, 133], [145, 164]]"", ""[[12, 278], [102, 305]]""]"
08vIy0y1N9I,the nba bad lip reading a,nba bad lip reading,"[""[[33, 177], [242, 250]]"", ""[[51, 256], [117, 285]]"", ""[[122, 258], [170, 284]]"", ""[[176, 258], [313, 284]]""]"
0ANDjPQPS_Q,thank you ponelocks youlobe,thank ponelocks youlobe,"[""[[1, 134], [163, 200]]"", ""[[327, 208], [361, 226]]"", ""[[327, 234], [358, 254]]""]"
0DpCDxoj_Xg,christmas carpool,christmas carpool,"[""[[16, 253], [265, 308]]"", ""[[274, 253], [477, 305]]""]"
0EPY1CKFecs,adam ruins pocahontas,adam ruin pocahontas,"[""[[23, 216], [144, 251]]"", ""[[150, 220], [276, 256]]"", ""[[13, 247], [306, 304]]""]"
0ETrC_c14ms,mance center jump,mance center jump,"[""[[241, 48], [268, 57]]"", ""[[266, 48], [294, 58]]"", ""[[23, 243], [80, 282]]""]"
0EbFotkXOiA,5 1000 view abc otheview,1000 view abc otheview,"[""[[0, 162], [38, 184]]"", ""[[41, 268], [86, 288]]"", ""[[424, 276], [454, 292]]"", ""[[413, 301], [457, 308]]""]"
0FBYDz1_EPs,nbcsports,nbcsports,"[""[[52, 277], [182, 305]]""]"
0GKC_nj7B44,teaser trailer official us whitney in theaters july 6,teaser trailer official whitney theater july,"[""[[356, 205], [408, 220]]"", ""[[409, 205], [466, 220]]"", ""[[260, 206], [322, 220]]"", ""[[192, 219], [472, 289]]"", ""[[337, 286], [405, 301]]"", ""[[406, 286], [441, 301]]""]"
0GQmGOju6CE,meet ghost my,meet ghost,"[""[[21, 253], [108, 300]]"", ""[[165, 253], [265, 301]]""]"
0H-JHIGRRNM,little tikes flyer,little tike flyer,"[""[[156, 62], [258, 94]]"", ""[[266, 62], [364, 94]]"", ""[[373, 62], [473, 94]]""]"
0HX039UdGpU,e every iblanki ever,every iblanki ever,"[""[[26, 204], [105, 228]]"", ""[[22, 237], [154, 266]]"", ""[[26, 277], [90, 301]]""]"
0IC3II1i5yM,prince harry interviews former president us reyal family channel,prince harry interview former president reyal family channel,"[""[[328, 65], [401, 86]]"", ""[[404, 64], [473, 90]]"", ""[[267, 89], [389, 114]]"", ""[[391, 90], [473, 115]]"", ""[[361, 112], [474, 141]]"", ""[[10, 250], [78, 277]]"", ""[[9, 268], [75, 292]]"", ""[[26, 290], [62, 300]]""]"
0Juc2cL26mg,helen mirren clarke jason winchester,helen mirren clarke jason winchester,"[""[[13, 265], [46, 274]]"", ""[[52, 265], [93, 274]]"", ""[[141, 265], [182, 274]]"", ""[[104, 266], [137, 274]]"", ""[[12, 278], [182, 305]]""]"
0KEFbtZQdnE,things not to say to single bb parents,thing say single parent,"[""[[161, 53], [330, 103]]"", ""[[229, 171], [294, 209]]"", ""[[164, 211], [332, 256]]"", ""[[168, 255], [330, 298]]""]"
0KFC9dZ7bxU,kama sutra juicy j cardi 8 vevo,kama sutra juicy cardi vevo,"[""[[198, 84], [237, 104]]"", ""[[240, 84], [282, 104]]"", ""[[144, 88], [172, 98]]"", ""[[300, 89], [326, 98]]"", ""[[12, 277], [103, 308]]""]"
0KRpcUAtg00,life tub,life tub,"[""[[172, 115], [344, 235]]"", ""[[26, 191], [185, 307]]""]"
0MyCrMrkMFo,ad 3100 simsa,3100 simsa,"[""[[425, 92], [456, 104]]"", ""[[219, 159], [348, 209]]""]"
0NWKUHl6JLY,nindies 2018 showcase spring switter nintendo,nindies 2018 showcase spring switter nintendo,"[""[[117, 160], [197, 181]]"", ""[[388, 159], [443, 181]]"", ""[[201, 161], [312, 181]]"", ""[[314, 161], [386, 185]]"", ""[[30, 180], [78, 197]]"", ""[[38, 264], [136, 281]]""]"
0O2IAz1E9Ts,jai 22 a man was mikidaboun vanity fair,jai man mikidaboun vanity fair,"[""[[13, 198], [24, 205]]"", ""[[42, 205], [72, 210]]"", ""[[29, 212], [81, 217]]"", ""[[12, 265], [120, 306]]"", ""[[122, 266], [189, 305]]""]"
0PW9MWDWLH8,whisper challenge wl my mom,whisper challenge mom,"[""[[27, 188], [180, 233]]"", ""[[3, 225], [199, 271]]"", ""[[109, 269], [192, 310]]""]"
0PWu3BRxn60,000101 uningm zuma spacex,000101 uningm zuma spacex,"[""[[398, 49], [434, 58]]"", ""[[14, 284], [45, 292]]"", ""[[45, 284], [64, 289]]"", ""[[409, 300], [462, 308]]""]"
0PpNlNJ6Nng,will it watermarbles,watermarbles,"[""[[32, 108], [218, 161]]""]"
0QDjTwsEeE0,reversed original song song,reverse original song,"[""[[97, 77], [233, 127]]"", ""[[246, 80], [375, 131]]"", ""[[277, 130], [356, 176]]""]"
0Rt329xQUjM,its aliver bor appetit,aliver bor appetit,"[""[[8, 240], [139, 290]]"", ""[[41, 286], [76, 308]]"", ""[[74, 292], [134, 312]]""]"
0URpDxIjZrQ,christopher robin official trailer,christopher robin official trailer,"[""[[16, 66], [117, 91]]"", ""[[38, 86], [102, 112]]"", ""[[104, 268], [241, 302]]"", ""[[250, 269], [377, 302]]""]"
0WPYpeJA__U,wash watch what happens live andy cohen,wash watch happens live andy cohen,"[""[[456, 190], [477, 197]]"", ""[[50, 214], [118, 233]]"", ""[[33, 249], [117, 268]]"", ""[[22, 266], [85, 292]]"", ""[[90, 273], [116, 282]]"", ""[[85, 281], [117, 290]]""]"
0XARMt12oFk,time,time,"[""[[20, 249], [178, 301]]""]"
0XuOkYlUWIs,reasons why 13 official trailer,reason official trailer,"[""[[62, 60], [220, 85]]"", ""[[31, 223], [253, 265]]"", ""[[32, 264], [234, 304]]""]"
0ZAA9Y4F37I,hot topics,hot topic,"[""[[49, 261], [76, 273]]"", ""[[42, 272], [82, 284]]""]"
0aFhzGEBQlk,story the sony trinitron of cha trinitron kv1395,story sony trinitron cha kv1395,"[""[[128, 59], [311, 149]]"", ""[[349, 121], [478, 156]]"", ""[[74, 238], [152, 253]]"", ""[[301, 229], [321, 236]]"", ""[[162, 238], [224, 253]]""]"
0bXCbVGb04A,changes this everything,change everything,"[""[[81, 221], [276, 268]]"", ""[[6, 265], [349, 310]]""]"
0bXJGZgR1BU,bi why one wants no host olympics to the,one want host olympics,"[""[[151, 234], [215, 261]]"", ""[[221, 234], [328, 261]]"", ""[[73, 264], [154, 290]]"", ""[[226, 264], [377, 292]]""]"
0dSR-9mtuzk,pitch perfect3 distociocates freedoma 190 cups x,pitch perfect3 distociocates freedoma 190 cup,"[""[[190, 57], [230, 80]]"", ""[[229, 57], [293, 80]]"", ""[[202, 81], [281, 123]]"", ""[[190, 257], [232, 270]]"", ""[[232, 257], [246, 270]]"", ""[[261, 257], [286, 270]]""]"
0eOtSEkLVtw,432 hour train trip,432 hour train trip,"[""[[12, 246], [74, 281]]"", ""[[87, 246], [174, 282]]"", ""[[188, 246], [288, 281]]"", ""[[302, 246], [378, 281]]""]"
0eUk_VN3e2A,sleepy lush,sleepy lush,"[""[[357, 207], [426, 234]]"", ""[[384, 260], [409, 268]]""]"
0fepqIO57f8,gudos,gudos,"[""[[101, 209], [142, 233]]""]"
0gDVWPPgMKY,superese show youlube originals,superese show youlube original,"[""[[239, 133], [315, 149]]"", ""[[273, 149], [305, 162]]"", ""[[24, 268], [102, 294]]"", ""[[102, 267], [188, 299]]""]"
0gW9EnfWzDw,your make own way subi,make way subi,"[""[[245, 57], [353, 100]]"", ""[[345, 182], [458, 232]]"", ""[[242, 186], [352, 236]]""]"
0l35jAGQPOI,gara,gara,"[""[[179, 66], [229, 95]]""]"
0lXX3dJUAGY,are intelligent people lonelyz more,intelligent people lonelyz,"[""[[5, 116], [294, 177]]"", ""[[8, 182], [180, 242]]"", ""[[148, 248], [346, 309]]""]"
0lr497GhD04,calories 10450 11x,calorie 10450 11x,"[""[[216, 57], [464, 124]]"", ""[[20, 61], [209, 122]]"", ""[[139, 236], [185, 271]]""]"
0mAS2Gxs08w,first take,first take,"[""[[182, 232], [304, 260]]"", ""[[182, 258], [300, 285]]""]"
0mlNzVSJrT0,youku,youku,"[""[[422, 53], [473, 65]]""]"
0noUI5HLY4I,ouch,ouch,"[""[[28, 89], [257, 169]]""]"
0nybdPCuvRI,cavs 70 93 heat cavaliers 3rd of 1159 23,cavs heat cavalier 3rd 1159,"[""[[196, 209], [294, 268]]"", ""[[97, 277], [118, 285]]"", ""[[202, 277], [244, 285]]"", ""[[306, 277], [320, 285]]"", ""[[344, 277], [364, 285]]""]"
0oBodJHX1Vg,atf show workout the rbg stephen colbert,atf show workout rbg stephen colbert,"[""[[392, 210], [442, 234]]"", ""[[390, 233], [466, 257]]"", ""[[178, 242], [358, 274]]"", ""[[95, 243], [169, 274]]"", ""[[363, 252], [453, 278]]"", ""[[378, 276], [458, 300]]""]"
0r-zYs6NQu8,sleepp never day day 36 1,sleepp never day,"[""[[244, 47], [476, 110]]"", ""[[10, 49], [226, 108]]"", ""[[304, 254], [368, 283]]""]"
0s6-iFoCFNQ,kitchen nightmares,kitchen nightmare,"[""[[24, 227], [154, 275]]"", ""[[16, 270], [164, 304]]""]"
0tO_l_Ed5Rs,facts,fact,"[""[[25, 109], [462, 232]]""]"
0ufNmUyf2co,bikes freak my,bike freak,"[""[[305, 66], [460, 120]]"", ""[[130, 68], [293, 121]]""]"
0v-6AylRH68,jyp official,jyp official,"[""[[13, 257], [68, 309]]"", ""[[74, 265], [197, 304]]""]"
0vKkwJwL77Y,honest trailers,honest trailer,"[""[[233, 99], [465, 157]]"", ""[[244, 160], [446, 200]]""]"
0vXLU9BnDPc,firstsi teennogue,firstsi teennogue,"[""[[45, 68], [240, 110]]"", ""[[1, 279], [177, 315]]""]"
0vhxoVwqZkk,becoming jigsaw a nurse,become jigsaw nurse,"[""[[208, 73], [437, 133]]"", ""[[238, 133], [474, 218]]"", ""[[198, 222], [376, 296]]""]"
0xCggNCs2kU,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
0zMSMJZc9EA,historical misconceptions,historical misconception,"[""[[100, 66], [466, 112]]"", ""[[104, 124], [468, 157]]""]"
1-jXHDiRnC0,murt,murt,"[""[[149, 217], [347, 316]]""]"
10ndJuFP1PY,jimmy kinnet lives,jimmy kinnet life,"[""[[41, 206], [104, 230]]"", ""[[15, 208], [176, 295]]"", ""[[108, 270], [166, 289]]""]"
12m1rG0Tj7U,ollywo jimmy stranch livei,ollywo jimmy stranch livei,"[""[[452, 80], [482, 92]]"", ""[[41, 205], [105, 230]]"", ""[[13, 207], [179, 301]]"", ""[[108, 270], [166, 289]]""]"
133w0dT64A0,the fallontive tonight show jimmy mclaughlin with caleb fallon,fallontive tonight show jimmy mclaughlin caleb fallon,"[""[[118, 222], [340, 257]]"", ""[[16, 229], [108, 249]]"", ""[[17, 246], [81, 266]]"", ""[[41, 264], [108, 282]]"", ""[[240, 263], [365, 293]]"", ""[[170, 265], [238, 288]]"", ""[[28, 277], [101, 301]]""]"
13hdKXfku4M,performance ca ghristmas fox stopy livei,performance ghristmas fox stopy livei,"[""[[17, 58], [253, 85]]"", ""[[22, 254], [138, 277]]"", ""[[158, 262], [220, 292]]"", ""[[75, 270], [132, 291]]"", ""[[89, 292], [133, 309]]""]"
13xFL17XmYU,dirgue,dirgue,"[""[[35, 201], [96, 239]]""]"
15UK0924t_o,222,222,"[""[[-3, 48], [144, 143]]""]"
15aTCG3as6Q,its omg me s s,omg,"[""[[8, 52], [130, 93]]""]"
15nf2EBBNu0,a i i i v a fro b,fro,"[""[[26, 226], [85, 288]]""]"
15uSD6tHi2I,live,live,"[""[[418, 62], [440, 70]]""]"
1640fZpYBSY,vin,vin,"[""[[284, 241], [312, 266]]""]"
16W7c0mb-rE,emergence,emergence,"[""[[20, 52], [464, 105]]""]"
16a1LttU5qc,pencil inception,pencil inception,"[""[[4, 50], [143, 88]]"", ""[[2, 98], [217, 144]]""]"
17x4Auq4Tw4,1980s allure,1980s allure,"[""[[291, 64], [472, 116]]"", ""[[0, 260], [189, 316]]""]"
18QHSoWPygQ,bs iheart radio adas 18 speech,iheart radio ada speech,"[""[[42, 246], [91, 261]]"", ""[[42, 258], [90, 272]]"", ""[[15, 268], [94, 308]]"", ""[[137, 272], [264, 300]]""]"
1A_aWbz6D5A,tike you et live,tike live,"[""[[426, 167], [483, 218]]"", ""[[62, 293], [168, 314]]""]"
1Aoc-cd9eYs,youtube originals 2 cobra kat,youtube original cobra kat,"[""[[10, 56], [78, 81]]"", ""[[77, 56], [152, 85]]"", ""[[12, 261], [163, 307]]"", ""[[174, 262], [265, 305]]""]"
1DQ9UTz5j8o,animei vs real life,animei real life,"[""[[227, 227], [458, 302]]"", ""[[27, 242], [132, 284]]"", ""[[136, 253], [225, 292]]""]"
1DRhHMy-D4E,bib c news dental office,bib news dental office,"[""[[36, 220], [68, 234]]"", ""[[29, 237], [94, 257]]"", ""[[233, 267], [287, 295]]"", ""[[236, 289], [286, 316]]""]"
1FJD7jZqZEk,final trailer world jurassic,final trailer world jurassic,"[""[[212, 261], [272, 294]]"", ""[[273, 261], [354, 294]]"", ""[[165, 280], [200, 293]]"", ""[[128, 281], [164, 293]]""]"
1HBvOZlvj_w,first take,first take,"[""[[180, 233], [300, 260]]"", ""[[179, 256], [295, 285]]""]"
1HJkmKODN4Y,today,today,"[""[[20, 276], [132, 302]]""]"
1I0cUTXwr-k,chart party sbnation i,chart party sbnation,"[""[[224, 54], [348, 102]]"", ""[[352, 56], [472, 102]]"", ""[[13, 64], [205, 94]]""]"
1J76wN0TPI4,rhf vinod chopra films rajkumar hirani films was for star studios sanju are official trailer 70 milliont views,rhf vinod chopra film rajkumar hirani star studio sanju official trailer milliont view,"[""[[448, 49], [476, 68]]"", ""[[156, 56], [180, 62]]"", ""[[181, 56], [212, 64]]"", ""[[309, 56], [330, 62]]"", ""[[240, 56], [281, 64]]"", ""[[281, 56], [309, 62]]"", ""[[244, 64], [261, 69]]"", ""[[262, 64], [294, 70]]"", ""[[176, 176], [309, 236]]"", ""[[180, 249], [242, 262]]"", ""[[242, 249], [298, 262]]"", ""[[193, 290], [284, 305]]"", ""[[290, 290], [349, 305]]""]"
1JNxKJnPDAs,live,live,"[""[[328, 256], [454, 298]]""]"
1JXq9779zwU,teded te zhe,teded zhe,"[""[[429, 70], [469, 82]]"", ""[[310, 149], [442, 209]]""]"
1L_fPteZOYQ,juggle five balls,juggle five ball,"[""[[286, 80], [442, 128]]"", ""[[290, 130], [442, 200]]"", ""[[292, 202], [442, 257]]""]"
1M5r_B1_WZ8,enni,enni,"[""[[18, 216], [180, 301]]""]"
1MGNw-Y2QPk,to need we about talk harrison james,need talk harrison james,"[""[[107, 74], [240, 130]]"", ""[[21, 127], [150, 184]]"", ""[[146, 158], [326, 212]]"", ""[[29, 180], [146, 226]]""]"
1PhdQdJjDZc,ultimate software,ultimate software,"[""[[77, 189], [203, 261]]"", ""[[101, 243], [182, 282]]""]"
1QR-GsZkE3E,jimmy kinmel livei,jimmy kinmel livei,"[""[[40, 205], [105, 230]]"", ""[[11, 207], [179, 299]]"", ""[[109, 270], [166, 289]]""]"
1RZYOeQeIXE,second rule,second rule,"[""[[66, 73], [121, 93]]"", ""[[120, 73], [154, 88]]""]"
1SnWTW6YXbE,charlie puth for me kehlani ft,charlie puth kehlani,"[""[[18, 58], [281, 97]]"", ""[[296, 59], [460, 97]]"", ""[[380, 290], [469, 305]]""]"
1U1u5aKU3AY,cnn,cnn,"[""[[16, 225], [176, 304]]""]"
1UPJ_Uk9s5c,movie talk,movie talk,"[""[[38, 261], [158, 292]]"", ""[[173, 261], [265, 290]]""]"
1WDj0DddCcM,wilkys,wilkys,"[""[[328, 256], [389, 269]]""]"
1WREZPc-kqQ,everything wrong with amityville the 1979 horror,everything wrong amityville 1979 horror,"[""[[71, 43], [231, 93]]"", ""[[233, 44], [336, 94]]"", ""[[164, 194], [406, 250]]"", ""[[244, 246], [400, 308]]"", ""[[84, 252], [240, 307]]""]"
1WRUGR-glbQ,mxn about cake,mxn cake,"[""[[316, 96], [456, 148]]"", ""[[313, 178], [456, 218]]""]"
1Wk8ZRgXQnY,the par the g d andy grammer,par andy grammer,"[""[[302, 82], [384, 100]]"", ""[[149, 268], [210, 284]]"", ""[[220, 268], [333, 285]]""]"
1XY8dPnIORc,honest trailers,honest trailer,"[""[[92, 112], [402, 186]]"", ""[[105, 193], [380, 244]]""]"
1ZAPwfrtAFY,the trump presidency,trump presidency,"[""[[68, 169], [105, 178]]"", ""[[108, 169], [176, 178]]""]"
1ZXWwIjQnHs,team jdge,team jdge,"[""[[7, 246], [105, 275]]"", ""[[2, 269], [104, 306]]""]"
1Znl8OUBa_o,gucci gang dear country edition ryan,gucci gang dear country edition ryan,"[""[[266, 66], [474, 133]]"", ""[[268, 128], [470, 190]]"", ""[[20, 205], [145, 250]]"", ""[[269, 208], [470, 249]]"", ""[[269, 241], [473, 294]]"", ""[[18, 250], [145, 294]]""]"
1ZqFDsq09H8,plane powered air,plane power air,"[""[[258, 57], [370, 102]]"", ""[[76, 65], [252, 118]]"", ""[[13, 80], [72, 118]]""]"
1bSDtlARvPI,ultimate bacon,ultimate bacon,"[""[[97, 134], [394, 184]]"", ""[[136, 197], [355, 246]]""]"
1cgK-BIrXes,for everything hyveteransbay thank you,everything hyveteransbay thank,"[""[[342, 277], [461, 305]]"", ""[[19, 276], [185, 305]]"", ""[[189, 280], [257, 301]]""]"
1csFTDXXULY,can you solve the teded false positive riddle7,solve teded false positive riddle7,"[""[[146, 69], [212, 97]]"", ""[[430, 70], [469, 82]]"", ""[[25, 105], [121, 145]]"", ""[[132, 105], [278, 145]]"", ""[[106, 153], [198, 184]]""]"
1dQEfL2BfUM,how to design comix page a,design comix page,"[""[[244, 144], [397, 181]]"", ""[[136, 190], [268, 229]]"", ""[[274, 190], [376, 228]]""]"
1eKa8ju_b2A,guess who me too it edition,guess edition,"[""[[255, 92], [427, 140]]"", ""[[294, 240], [416, 269]]""]"
1emNguW5xAA,drippie poiper prelude the to pop,drippie poiper prelude pop,"[""[[389, 62], [462, 81]]"", ""[[388, 76], [462, 100]]"", ""[[17, 260], [192, 296]]"", ""[[362, 261], [450, 296]]""]"
1h7KV2sjUWY,new true facts mutualism ant,new true fact mutualism ant,"[""[[6, 56], [64, 76]]"", ""[[3, 235], [91, 279]]"", ""[[95, 234], [193, 280]]"", ""[[62, 281], [209, 305]]"", ""[[5, 282], [57, 305]]""]"
1huD-o3abV8,gchang 201 cnn,gchang 201 cnn,"[""[[326, 92], [433, 125]]"", ""[[433, 94], [482, 120]]"", ""[[12, 222], [172, 305]]""]"
1iGBHh1q0Kg,the dodo,dodo,"[""[[438, 64], [474, 77]]""]"
1j_k5WCFShQ,knicekardand fitled 29 does datax vay unelopunerishine sponsored post haul,knicekardand fitled datax vay unelopunerishine sponsor post haul,"[""[[24, 50], [66, 57]]"", ""[[330, 126], [384, 156]]"", ""[[357, 151], [378, 162]]"", ""[[5, 230], [56, 244]]"", ""[[6, 249], [94, 256]]"", ""[[64, 259], [239, 306]]"", ""[[246, 260], [324, 304]]"", ""[[332, 262], [413, 304]]""]"
1l26UFQ06eQ,snl,snl,"[""[[0, 224], [109, 302]]""]"
1lCnG9hWC6w,gmm youlube originals,gmm youlube original,"[""[[12, 269], [108, 305]]"", ""[[129, 277], [193, 298]]"", ""[[190, 276], [261, 304]]""]"
1mYB8onrPt0,neri,neri,"[""[[332, 102], [414, 129]]""]"
1mpdJcGj8Qg,s14000 in gold,s14000 gold,"[""[[2, 65], [311, 133]]"", ""[[8, 237], [209, 294]]""]"
1n4rqMnxaig,michican withon 2 13,michican withon,"[""[[220, 128], [261, 146]]"", ""[[316, 136], [342, 148]]""]"
1ndx3Hl-7ls,the blate,blate,"[""[[144, 169], [162, 185]]""]"
1oFQ76ctfS0,when it 5am at s irish wedding an,5am irish wedding,"[""[[258, 4], [321, 29]]"", ""[[150, 42], [212, 69]]"", ""[[217, 38], [354, 76]]""]"
1qIj0m7-sHI,top 10 rookies of 2017 90 nfl,top rookie 2017 nfl,"[""[[49, 54], [150, 101]]"", ""[[6, 104], [232, 153]]"", ""[[86, 158], [204, 205]]"", ""[[18, 253], [77, 293]]""]"
1sJHx2s4Pp4,vevo,vevo,"[""[[10, 278], [102, 305]]""]"
1sqyuXCwcBA,vaite,vaite,"[""[[4, 28], [231, 156]]""]"
1vc1cKeor5A,review coco,review coco,"[""[[270, 46], [474, 89]]"", ""[[0, 203], [261, 276]]""]"
2--Pg-y3xNk,watch what happens live andy cohen,watch happens live andy cohen,"[""[[50, 214], [117, 233]]"", ""[[33, 248], [117, 266]]"", ""[[24, 266], [85, 292]]"", ""[[90, 273], [116, 282]]"", ""[[85, 281], [117, 290]]""]"
20bpjtCbCz0,deadpoola final trailer,deadpoola final trailer,"[""[[9, 53], [221, 94]]"", ""[[17, 225], [160, 264]]"", ""[[18, 262], [219, 308]]""]"
22iCU_bsApA,first take,first take,"[""[[21, 233], [141, 260]]"", ""[[21, 258], [134, 285]]""]"
23ILq4uxd-w,have have have have have,,[]
23QOy9Q2qNI,best of the yearii,best yearii,"[""[[1, 234], [104, 266]]"", ""[[90, 268], [220, 301]]""]"
25Uouf_9DUk,nfl,nfl,"[""[[440, 60], [464, 72]]""]"
260mj1dmJhU,sho wtime cartoon our president,sho wtime cartoon president,"[""[[373, 58], [410, 86]]"", ""[[408, 60], [470, 85]]"", ""[[46, 250], [156, 273]]"", ""[[16, 264], [224, 300]]""]"
