video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
0Yp9WS6cJFA,downhill biking,downhill biking,"[""[[8, 74], [269, 112]]"", ""[[9, 114], [270, 168]]""]"
0aan7Vtcco0,wrestle mania,wrestle mania,"[""[[13, 261], [81, 285]]"", ""[[80, 264], [122, 284]]""]"
0enOVnTDmqA,mutel y od the ateshow james corden,mutel ateshow james corden,"[""[[24, 42], [152, 68]]"", ""[[24, 258], [76, 273]]"", ""[[36, 270], [74, 282]]"", ""[[25, 282], [76, 294]]""]"
0fOZ4Nwm5Pg,lailahlynncon,lailahlynncon,"[""[[18, 294], [97, 302]]""]"
0gLsukihjVg,guardlang tar,guardlang tar,"[""[[201, 246], [335, 310]]"", ""[[228, 285], [272, 306]]""]"
0hcp-eMOn4E,crowd a in of thous ands,crowd thous ands,"[""[[242, 132], [366, 190]]"", ""[[180, 206], [298, 264]]"", ""[[293, 209], [374, 264]]""]"
0lXX3dJUAGY,are intelligent people lonelyz more,intelligent people lonelyz,"[""[[5, 116], [294, 177]]"", ""[[8, 182], [180, 242]]"", ""[[148, 248], [346, 309]]""]"
0ldBURP-cWo,ajaidheliab adaidhellar you poormation,ajaidheliab adaidhellar poormation,"[""[[135, 141], [209, 173]]"", ""[[152, 178], [217, 221]]"", ""[[149, 251], [215, 308]]""]"
0nybdPCuvRI,cavs 70 93 heat cavaliers 3rd of 1159 23,cavs heat cavalier 3rd 1159,"[""[[196, 209], [294, 268]]"", ""[[97, 277], [118, 285]]"", ""[[202, 277], [244, 285]]"", ""[[306, 277], [320, 285]]"", ""[[344, 277], [364, 285]]""]"
0uJUW24505E,18,,[]
11K013qpRR4,filmselect hd trailer,filmselect trailer,"[""[[13, 205], [90, 226]]"", ""[[6, 281], [144, 306]]""]"
12B8DNBoYRA,undement make look good it sunch mand reartid one un comply you the pg versionism theraton reversion dichtmean 10 taken shart in happoned but sht my he then yourel way better in on offmy who that,undement make look good sunch mand reartid one comply versionism theraton reversion dichtmean take shart happoned sht yourel way well offmy,"[""[[212, 60], [249, 65]]"", ""[[185, 173], [205, 178]]"", ""[[209, 173], [226, 178]]"", ""[[226, 173], [242, 178]]"", ""[[185, 180], [205, 185]]"", ""[[205, 180], [222, 185]]"", ""[[260, 180], [285, 186]]"", ""[[224, 181], [242, 185]]"", ""[[274, 204], [288, 210]]"", ""[[218, 224], [252, 230]]"", ""[[252, 224], [280, 229]]"", ""[[185, 232], [213, 238]]"", ""[[217, 233], [253, 240]]"", ""[[261, 233], [282, 238]]"", ""[[185, 241], [202, 248]]"", ""[[214, 241], [245, 248]]"", ""[[269, 241], [281, 248]]"", ""[[261, 248], [285, 258]]"", ""[[194, 250], [206, 256]]"", ""[[206, 250], [226, 256]]"", ""[[185, 258], [205, 265]]""]"
14G7Qw5DC9M,regand,regand,"[""[[306, 161], [449, 295]]""]"
14G7U6pTcFk,z projec,projec,"[""[[304, 132], [398, 145]]""]"
15aTCG3as6Q,its omg me s s,omg,"[""[[8, 52], [130, 93]]""]"
18RqtFuaNe8,trailer hd,trailer,"[""[[30, 198], [205, 233]]""]"
18thGW1YjRM,utv,utv,"[""[[88, 74], [172, 128]]""]"
1Aoc-cd9eYs,youtube originals 2 cobra kat,youtube original cobra kat,"[""[[10, 56], [78, 81]]"", ""[[77, 56], [152, 85]]"", ""[[12, 261], [163, 307]]"", ""[[174, 262], [265, 305]]""]"
1HcoMNJUiM0,trailer hd,trailer,"[""[[32, 198], [205, 233]]""]"
1KVBFtSuCm0,movo on,movo,"[""[[44, 240], [70, 248]]""]"
1LWbRkt490A,yervil fc town veovil yeovil true uni achievely,yervil town veovil yeovil true uni achievely,"[""[[12, 56], [54, 89]]"", ""[[331, 57], [422, 103]]"", ""[[234, 77], [338, 150]]"", ""[[13, 104], [236, 180]]"", ""[[40, 188], [210, 265]]"", ""[[434, 246], [483, 276]]"", ""[[319, 257], [441, 312]]""]"
1SnWTW6YXbE,charlie puth for me kehlani ft,charlie puth kehlani,"[""[[18, 58], [281, 97]]"", ""[[296, 59], [460, 97]]"", ""[[380, 290], [469, 305]]""]"
1XsKiDXWtyE,minet mnet,minet mnet,"[""[[406, 62], [460, 77]]"", ""[[24, 272], [132, 308]]""]"
1_Nr0hrjR24,tesla semi unveil part of3 3,tesla semi unveil part of3,"[""[[0, 107], [137, 162]]"", ""[[152, 109], [291, 160]]"", ""[[309, 109], [484, 161]]"", ""[[14, 269], [93, 304]]"", ""[[133, 269], [205, 304]]""]"
1_OVkSsH4NY,where tve been cancer update my shorty award nomina tion,tve cancer update shorty award nomina tion,"[""[[298, 196], [322, 210]]"", ""[[286, 217], [333, 232]]"", ""[[248, 236], [294, 256]]"", ""[[243, 254], [292, 278]]"", ""[[293, 256], [334, 272]]"", ""[[254, 277], [300, 292]]"", ""[[297, 278], [326, 293]]""]"
1cUUfMeOijg,amazing places,amaze place,"[""[[30, 224], [201, 256]]"", ""[[29, 252], [204, 290]]""]"
1cgK-BIrXes,for everything hyveteransbay thank you,everything hyveteransbay thank,"[""[[342, 277], [461, 305]]"", ""[[19, 276], [185, 305]]"", ""[[189, 280], [257, 301]]""]"
1dQEfL2BfUM,how to design comix page a,design comix page,"[""[[244, 144], [397, 181]]"", ""[[136, 190], [268, 229]]"", ""[[274, 190], [376, 228]]""]"
1eS_17CG9sk,ad adulting quiz manna be howlings the here people,adulting quiz manna howling people,"[""[[143, 73], [345, 114]]"", ""[[163, 123], [325, 191]]"", ""[[341, 215], [391, 242]]"", ""[[267, 242], [315, 254]]"", ""[[354, 266], [425, 301]]""]"
1gSu12JpKP8,vevo,vevo,"[""[[13, 278], [102, 305]]""]"
1hTLGlgZ4Z8,upgrade red band trailer,upgrade red band trailer,"[""[[29, 225], [457, 278]]"", ""[[104, 278], [164, 304]]"", ""[[169, 278], [252, 304]]"", ""[[254, 278], [375, 304]]""]"
1l26UFQ06eQ,snl,snl,"[""[[0, 224], [109, 302]]""]"
1qsRU7C_Gp0,mineownating laralel voize,mineownating laralel voize,"[""[[181, 121], [232, 129]]"", ""[[209, 140], [233, 149]]"", ""[[169, 168], [235, 203]]""]"
1sl5KJ69qiA,youtube originals good greater field mind stop,youtube original good great field mind stop,"[""[[10, 55], [78, 79]]"", ""[[77, 56], [152, 85]]"", ""[[140, 144], [219, 178]]"", ""[[26, 145], [134, 181]]"", ""[[141, 246], [252, 305]]"", ""[[13, 248], [129, 304]]"", ""[[360, 289], [382, 294]]""]"
1vc1cKeor5A,review coco,review coco,"[""[[270, 46], [474, 89]]"", ""[[0, 203], [261, 276]]""]"
1x_5E3gquFo,fox miami sizers 16 lb,fox miami sizers,"[""[[425, 56], [446, 66]]"", ""[[102, 153], [148, 173]]"", ""[[170, 201], [230, 230]]""]"
1xvyVnkcgtE,swing for fences games the hit the streets with s794 in value with gold 3400 in gamerscore mboxone xbokone xaso this xbox one xbox one may133 may 16june1s may1415 may 1631 xbox 82499ffree 61999 free 1999 free 61999 free,swing fence game hit street s794 value gold 3400 gamerscore mboxone xbokone xaso xbox one may133 may 16june1s may1415 1631 82499ffree 61999 free 1999,"[""[[258, 57], [318, 83]]"", ""[[385, 60], [445, 77]]"", ""[[57, 58], [249, 106]]"", ""[[260, 82], [290, 100]]"", ""[[326, 84], [389, 98]]"", ""[[301, 104], [342, 124]]"", ""[[365, 105], [409, 122]]"", ""[[138, 116], [238, 146]]"", ""[[260, 125], [302, 144]]"", ""[[324, 127], [418, 146]]"", ""[[109, 174], [140, 181]]"", ""[[190, 174], [221, 181]]"", ""[[349, 174], [365, 180]]"", ""[[5, 288], [62, 306]]"", ""[[370, 262], [388, 272]]"", ""[[101, 282], [134, 290]]"", ""[[345, 281], [363, 292]]"", ""[[190, 282], [229, 290]]"", ""[[265, 282], [298, 292]]"", ""[[361, 282], [384, 290]]"", ""[[97, 293], [136, 301]]"", ""[[344, 293], [368, 301]]"", ""[[369, 293], [384, 301]]"", ""[[264, 293], [284, 301]]""]"
1zKXeSkAgEs,charlottetilbbry beautiful the glowing look featuring newi hollywood flawless filter the duchess,charlottetilbbry beautiful glow look feature newi hollywood flawless filter duchess,"[""[[62, 56], [200, 83]]"", ""[[100, 84], [210, 112]]"", ""[[60, 113], [152, 142]]"", ""[[153, 114], [209, 144]]"", ""[[84, 145], [152, 162]]"", ""[[152, 145], [186, 162]]"", ""[[45, 268], [118, 286]]"", ""[[118, 268], [184, 286]]"", ""[[182, 268], [225, 285]]"", ""[[125, 288], [182, 305]]""]"
1zNr8Pf1QkY,guarian,guarian,"[""[[7, 249], [173, 308]]""]"
20bpjtCbCz0,deadpoola final trailer,deadpoola final trailer,"[""[[9, 53], [221, 94]]"", ""[[17, 225], [160, 264]]"", ""[[18, 262], [219, 308]]""]"
21jcP-1w4DA,what gotfor my bday hid tony,gotfor bday hid tony,"[""[[159, 167], [294, 192]]"", ""[[357, 169], [438, 192]]"", ""[[338, 187], [398, 235]]"", ""[[338, 233], [381, 273]]""]"
23ILq4uxd-w,have have have have have,,[]
24-AhdoN_Nk,trailer hd,trailer,"[""[[32, 198], [205, 233]]""]"
25ibuwW4Dm4,not lukes fatherp,luke fatherp,"[""[[30, 106], [236, 164]]"", ""[[11, 150], [261, 212]]""]"
26ZX7NbOhks,legality the of loot boxes,legality loot box,"[""[[104, 48], [304, 102]]"", ""[[70, 98], [172, 137]]"", ""[[177, 99], [312, 138]]""]"
28_tNFnMrTk,last week,last week,"[""[[4, 204], [124, 261]]"", ""[[6, 256], [125, 313]]""]"
29FW8nTF0Ww,payl winz,payl winz,"[""[[204, 48], [476, 186]]"", ""[[226, 178], [456, 312]]""]"
2AAUadR6Hjw,fio 00 ben 3130 davide macc sport chduve bt,fio ben 3130 davide macc sport chduve,"[""[[50, 64], [66, 73]]"", ""[[92, 65], [112, 73]]"", ""[[118, 65], [137, 73]]"", ""[[55, 114], [332, 157]]"", ""[[334, 200], [357, 208]]"", ""[[401, 293], [425, 302]]"", ""[[424, 293], [460, 302]]""]"
2ATuTL5i0_c,kylie what are you doingz,kylie doingz,"[""[[33, 139], [134, 195]]"", ""[[104, 194], [162, 220]]""]"
2BE4X3bYpxY,cc our vevo,vevo,"[""[[9, 277], [103, 306]]""]"
2Fdx4TcQFe8,state champs coystal bark state champs not anoor crystal ball aroun,state champ coystal bark anoor crystal ball aroun,"[""[[9, 69], [36, 78]]"", ""[[37, 69], [72, 78]]"", ""[[49, 50], [72, 58]]"", ""[[73, 50], [88, 57]]"", ""[[42, 137], [69, 142]]"", ""[[12, 153], [49, 162]]"", ""[[50, 153], [72, 162]]"", ""[[37, 305], [62, 309]]""]"
2HboMs0vbsE,mint mnet,mint mnet,"[""[[408, 61], [464, 80]]"", ""[[26, 274], [132, 308]]""]"
2MiQonPvlVM,4f milly i 2 jyp official,milly jyp official,"[""[[37, 80], [155, 113]]"", ""[[14, 252], [68, 304]]"", ""[[74, 260], [197, 301]]""]"
2MxAwOC_o5w,roosevelt hotel theart atshow james corden,roosevelt hotel theart atshow james corden,"[""[[420, 117], [473, 126]]"", ""[[430, 126], [462, 134]]"", ""[[42, 246], [105, 261]]"", ""[[40, 259], [94, 276]]"", ""[[53, 273], [93, 286]]"", ""[[44, 286], [93, 298]]""]"
2NlNEj2mCIg,official cte8m music,official cte8m music,"[""[[9, 56], [146, 86]]"", ""[[153, 69], [194, 81]]"", ""[[194, 69], [232, 81]]""]"
2Nlo2ekTRvI,everything vinoce with wrong cars 3,everything vinoce wrong car,"[""[[270, 48], [426, 94]]"", ""[[181, 68], [213, 84]]"", ""[[263, 92], [366, 142]]"", ""[[106, 186], [305, 287]]""]"
2PH7dK6SLC8,mayer john ohnimaye e1 vav to vevo,mayer john ohnimaye vav vevo,"[""[[129, 81], [224, 109]]"", ""[[50, 82], [124, 109]]"", ""[[106, 124], [170, 137]]"", ""[[113, 186], [150, 214]]"", ""[[12, 277], [102, 305]]""]"
2S2qtGisT34,gnn,gnn,"[""[[17, 226], [176, 302]]""]"
2SJ0hgdciNE,didd,didd,"[""[[132, 68], [172, 95]]""]"
2TQAP-uAN9I,fox nill engins rams 31 28 amoun,fox nill engins ram amoun,"[""[[44, 230], [64, 241]]"", ""[[62, 230], [81, 241]]"", ""[[28, 248], [50, 256]]"", ""[[66, 248], [85, 253]]"", ""[[30, 277], [52, 284]]""]"
2UmRhLA3Qzk,nintendo labo make play discover,nintendo labo make play discover,"[""[[149, 132], [332, 156]]"", ""[[152, 158], [332, 201]]"", ""[[122, 238], [173, 252]]"", ""[[192, 237], [244, 254]]"", ""[[262, 238], [356, 253]]""]"
2VggEmXPnGw,great big story,great big story,"[""[[69, 264], [169, 293]]"", ""[[172, 264], [228, 293]]"", ""[[230, 264], [329, 294]]""]"
2WHcBwq2wHc,standard charts salah mo prank,standard chart salah prank,"[""[[366, 156], [415, 173]]"", ""[[366, 172], [398, 182]]"", ""[[200, 199], [395, 251]]"", ""[[134, 250], [341, 310]]""]"
2XPF3Snm9JE,episode 139 were when cwo the half ramer in the bag deathcure,episode 139 cwo half ramer bag deathcure,"[""[[316, 52], [425, 77]]"", ""[[429, 52], [470, 76]]"", ""[[260, 86], [274, 92]]"", ""[[32, 225], [120, 254]]"", ""[[258, 243], [330, 276]]"", ""[[51, 260], [136, 304]]"", ""[[265, 267], [328, 284]]""]"
2YVMusIxisY,woollim ent official,woollim ent official,"[""[[38, 268], [148, 290]]"", ""[[146, 277], [168, 289]]"", ""[[361, 285], [465, 310]]""]"
2Yb_VA4L3YU,kivu,kivu,"[""[[32, 294], [56, 302]]""]"
2afSbqlp5HU,bbc news,bbc news,"[""[[36, 218], [88, 236]]"", ""[[29, 237], [94, 257]]""]"
2b5szHlQI_A,new frend show injebuddenpodcast,new frend show injebuddenpodcast,"[""[[183, 46], [287, 103]]"", ""[[353, 232], [438, 263]]"", ""[[368, 258], [440, 282]]"", ""[[294, 297], [477, 312]]""]"
2dls8iCoQTI,uphal,uphal,"[""[[8, 200], [37, 218]]""]"
2h_TxIxx-Kg,diddysking combs bovtiv,diddysking comb bovtiv,"[""[[5, 244], [210, 294]]"", ""[[217, 244], [345, 294]]"", ""[[345, 245], [449, 293]]""]"
2kCbFmjEi6A,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
2kpJ4GbVvNc,trailer hd,trailer,"[""[[10, 210], [182, 242]]""]"
2lCW-iaOZ_M,the nerd crew pop culture podcast a star so jee d i e a wars merry movie review spoilershi warning,nerd crew pop culture podcast star jee war merry movie review spoilershi warn,"[""[[153, 49], [285, 86]]"", ""[[300, 50], [440, 86]]"", ""[[356, 85], [378, 96]]"", ""[[380, 86], [422, 96]]"", ""[[425, 86], [468, 97]]"", ""[[137, 93], [354, 144]]"", ""[[300, 144], [337, 158]]"", ""[[135, 161], [358, 213]]"", ""[[57, 181], [110, 201]]"", ""[[89, 222], [221, 264]]"", ""[[234, 222], [390, 265]]"", ""[[230, 263], [468, 308]]"", ""[[12, 265], [221, 306]]""]"
2mrOcJNPxEc,today,today,"[""[[21, 276], [132, 302]]""]"
2nJ3U5dzvPs,finally its christmas,finally christmas,"[""[[136, 111], [288, 187]]"", ""[[109, 176], [384, 249]]""]"
2nUW3nIOOOg,ve,,[]
2nshBD9EbxE,how to make a wooden katana,make wooden katana,"[""[[170, 253], [225, 273]]"", ""[[81, 278], [242, 310]]"", ""[[253, 278], [385, 309]]""]"
2pJlpCfueV0,lmfao when brother orders bong your a and him mom s wants to it your see open,lmfao brother order bong mom want see open,"[""[[66, 320], [132, 337]]"", ""[[226, 318], [291, 338]]"", ""[[292, 319], [349, 337]]"", ""[[367, 319], [416, 342]]"", ""[[145, 342], [192, 357]]"", ""[[206, 342], [257, 357]]"", ""[[281, 344], [314, 357]]"", ""[[354, 344], [398, 360]]""]"
2pVHOaT9CZ4,wit red,wit red,"[""[[9, 265], [70, 301]]"", ""[[76, 266], [173, 300]]""]"
2vPw8QbzFTo,what do hearize you yanny laurel voize jimmy kinmel livei,hearize yanny laurel voize jimmy kinmel livei,"[""[[253, 106], [285, 114]]"", ""[[201, 132], [234, 145]]"", ""[[248, 132], [286, 145]]"", ""[[183, 178], [295, 242]]"", ""[[41, 206], [105, 230]]"", ""[[10, 208], [179, 301]]"", ""[[109, 270], [166, 289]]""]"
31OMf1H5Rk0,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
34cHO5_LX9g,8,,[]
34yQnVJDTt8,ellatorif2 yibc live un jurunwull hbellatorwop network rampa millec son vs lite paramount sat st netw a apage innen bellator ount mma scott sluoner coker mma,ellatorif2 yibc live jurunwull hbellatorwop network rampa millec son lite paramount sat netw apage innen bellator ount mma scott sluoner coker,"[""[[0, 46], [76, 61]]"", ""[[92, 46], [142, 65]]"", ""[[145, 46], [205, 65]]"", ""[[259, 44], [353, 61]]"", ""[[369, 48], [462, 62]]"", ""[[276, 60], [342, 69]]"", ""[[314, 97], [350, 109]]"", ""[[192, 102], [223, 116]]"", ""[[324, 108], [346, 121]]"", ""[[202, 110], [254, 136]]"", ""[[422, 112], [481, 128]]"", ""[[309, 124], [332, 136]]"", ""[[432, 126], [454, 132]]"", ""[[446, 176], [477, 189]]"", ""[[449, 188], [480, 200]]"", ""[[193, 190], [258, 201]]"", ""[[0, 196], [24, 206]]"", ""[[8, 280], [58, 294]]"", ""[[392, 228], [428, 240]]"", ""[[125, 229], [177, 253]]"", ""[[392, 237], [428, 250]]""]"
36DAv_m8Mlw,k m n e a o hailee feat steinfel in colvr vevo,hailee feat steinfel colvr vevo,"[""[[193, 123], [298, 161]]"", ""[[156, 132], [192, 149]]"", ""[[188, 157], [308, 190]]"", ""[[168, 192], [315, 253]]"", ""[[12, 278], [102, 305]]""]"
36PDeN9NRZ0,trailer hd,trailer,"[""[[32, 198], [205, 233]]""]"
36tggrpRoTI,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
37lXjnflt9M,vevo,vevo,"[""[[10, 278], [102, 305]]""]"
3ATQvgkXT9E,vevo,vevo,"[""[[10, 277], [102, 305]]""]"
3BEpWWxPXSU,arrak flips rockstart,arrak flip rockstart,"[""[[27, 65], [166, 119]]"", ""[[45, 125], [110, 144]]"", ""[[54, 149], [192, 168]]""]"
3ChgRbqGi-E,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
3Haf2k6R8sI,blockbusing was ht,blockbusing,"[""[[274, 46], [477, 117]]""]"
3K4WG7Tqza4,snl,snl,"[""[[10, 222], [108, 302]]""]"
3KmIMuLh4Vs,i i vevo,vevo,"[""[[12, 278], [102, 305]]""]"
3ONSFeRy9iQ,everything explained last engineer many worlds have been crafted by the through the blood of our the successful the of that the un was yours is the only child that is like if star our weyland what hes sayings is,everything explain last engineer many world craft blood successful child like star weyland saying,"[""[[130, 52], [390, 85]]"", ""[[174, 96], [366, 124]]"", ""[[174, 198], [209, 212]]"", ""[[210, 198], [280, 212]]"", ""[[124, 212], [160, 227]]"", ""[[161, 213], [202, 225]]"", ""[[268, 213], [312, 225]]"", ""[[200, 228], [233, 240]]"", ""[[180, 241], [246, 254]]"", ""[[257, 256], [288, 269]]"", ""[[332, 256], [356, 269]]"", ""[[230, 258], [256, 269]]"", ""[[180, 284], [244, 296]]"", ""[[195, 297], [243, 315]]""]"
3Q2j5ApzSqs,vevo,vevo,"[""[[10, 278], [102, 305]]""]"
3RdLd4imW6U,it wendy lano,wendy lano,"[""[[94, 265], [149, 283]]"", ""[[207, 273], [272, 302]]""]"
3TPY4TKo6uQ,solo wars story star,solo war story star,"[""[[108, 120], [369, 233]]"", ""[[230, 204], [312, 240]]"", ""[[307, 205], [352, 226]]"", ""[[148, 217], [233, 254]]""]"
3XIV3mfc8S0,pga i highlights,pga highlight,"[""[[25, 73], [50, 82]]"", ""[[0, 266], [298, 304]]""]"
3Xb3eOH4PMA,ladbaby,ladbaby,"[""[[163, 46], [209, 58]]""]"
3XklsSF53pc,munchies,munchies,"[""[[23, 260], [264, 300]]""]"
3Z6kYVQC83E,veitch a christmas message,veitch christmas message,"[""[[293, 189], [393, 221]]"", ""[[267, 224], [428, 257]]"", ""[[269, 264], [414, 297]]""]"
3hn14sIQc6E,daily news,daily news,"[""[[3, 264], [185, 312]]"", ""[[226, 266], [396, 312]]""]"
3jtjkXSvuJw,fizzi the funniest kitten,fizzi funniest kitten,"[""[[309, 62], [449, 134]]"", ""[[281, 180], [477, 232]]"", ""[[289, 241], [465, 304]]""]"
3mUtNE82ZV4,hus culd vild,hus culd vild,"[""[[398, 96], [468, 136]]"", ""[[177, 171], [200, 185]]"", ""[[41, 241], [114, 277]]""]"
3p-lyt78cyA,the problem with action dc scenes,problem action scene,"[""[[152, 156], [312, 189]]"", ""[[138, 190], [258, 225]]"", ""[[265, 192], [398, 225]]""]"
3pxyo7eSknc,0f12017 best,0f12017 best,"[""[[187, 173], [416, 213]]"", ""[[38, 173], [171, 214]]""]"
3rVFuscWyC8,the old me,old,"[""[[226, 173], [264, 186]]""]"
3uGIEY7tdg8,studios amazon sypria,studio amazon sypria,"[""[[77, 58], [134, 75]]"", ""[[14, 60], [78, 74]]"", ""[[6, 223], [209, 307]]""]"
3v0c6smpHSk,hamilton the hamilton polka yankovic weird all,hamilton polka yankovic weird,"[""[[149, 220], [332, 245]]"", ""[[162, 243], [324, 274]]"", ""[[245, 274], [310, 284]]"", ""[[176, 276], [218, 284]]""]"
3wnHiK5sKgA,smtown official,smtown official,"[""[[109, 246], [189, 264]]"", ""[[108, 268], [192, 285]]""]"
3yt4JsB9psg,personofine year time msnbc,personofine year time msnbc,"[""[[155, 52], [281, 87]]"", ""[[276, 64], [333, 92]]"", ""[[169, 75], [318, 138]]"", ""[[77, 255], [242, 297]]""]"
41PTANtZFW0,vevo,vevo,"[""[[12, 278], [102, 305]]""]"
41oqd-mogW8,sublying,sublying,"[""[[100, 120], [304, 216]]""]"
425M4M3Opkk,trailer teaser,trailer teaser,"[""[[241, 262], [342, 294]]"", ""[[137, 265], [236, 293]]""]"
44NYFvhXmW8,walk water onn vevo,walk water onn vevo,"[""[[18, 165], [154, 192]]"", ""[[295, 164], [465, 193]]"", ""[[196, 168], [260, 190]]"", ""[[13, 278], [102, 305]]""]"
44szOPIixaU,star t a a s e d wars,star war,"[""[[36, 158], [212, 201]]"", ""[[34, 210], [213, 254]]""]"
45tSUnisIos,trap cat,trap cat,"[""[[298, 213], [381, 250]]"", ""[[213, 218], [289, 252]]""]"
47_BVBakJqY,years 3 of dying light good good luck night,year die light good luck night,"[""[[189, 117], [332, 158]]"", ""[[128, 172], [248, 226]]"", ""[[255, 189], [354, 255]]"", ""[[188, 225], [217, 242]]"", ""[[216, 225], [245, 242]]"", ""[[156, 226], [186, 241]]""]"
48-pr5-G6Pw,vevo,vevo,"[""[[13, 278], [102, 305]]""]"
48qcnpCWBq0,vevo,vevo,"[""[[10, 278], [102, 305]]""]"
494VkPnSvJk,colourpop must haves,colourpop must have,"[""[[146, 118], [398, 152]]"", ""[[265, 153], [365, 181]]"", ""[[258, 182], [376, 210]]""]"
4A-E6EJICvM,live,live,"[""[[390, 65], [422, 78]]""]"
4AtOU0dDXv8,cm,,[]
4DQ-2tDzJxw,grandsen vevo thoughts sprayers,grandsen vevo thought sprayer,"[""[[25, 60], [97, 76]]"", ""[[10, 278], [102, 305]]"", ""[[338, 289], [393, 304]]"", ""[[393, 289], [449, 304]]""]"
4FXO1Ydzkpk,jimmy hammel livei,jimmy hammel livei,"[""[[40, 205], [108, 230]]"", ""[[10, 205], [180, 301]]"", ""[[109, 270], [166, 289]]""]"
4FgV0yBZG6E,star wars the whisper challenge tonight show fallon daisy ridley galaxy far far away ime,star war whisper challenge tonight show fallon daisy ridley galaxy far away ime,"[""[[197, 191], [279, 223]]"", ""[[288, 193], [388, 224]]"", ""[[121, 222], [269, 256]]"", ""[[274, 222], [476, 256]]"", ""[[16, 229], [108, 249]]"", ""[[17, 246], [81, 266]]"", ""[[28, 261], [109, 301]]"", ""[[119, 267], [177, 304]]"", ""[[175, 264], [237, 295]]"", ""[[230, 277], [303, 304]]"", ""[[344, 280], [378, 300]]"", ""[[381, 278], [440, 305]]"", ""[[105, 285], [142, 298]]""]"
4HU6Z7anycw,lickiner the in polar bear,lickiner polar bear,"[""[[189, 69], [461, 202]]"", ""[[237, 238], [334, 270]]"", ""[[346, 238], [428, 270]]""]"
4Ibn7DeBS-Y,wit signast new,wit signast new,"[""[[301, 33], [390, 106]]"", ""[[266, 67], [415, 184]]"", ""[[373, 72], [479, 164]]""]"
